agent,game,agent1_wins,agent2_wins,draws,agent1_win_rate,agent2_win_rate,draw_rate,avg_game_length
MiniMax,TTT,0,0,200,0.0,0.0,1.0,9.0
AlphaBeta,TTT,0,0,200,0.0,0.0,1.0,9.0
QLearning,TTT,0,200,0,0.0,1.0,0.0,5.5
DQN,TTT,0,100,100,0.0,0.5,0.5,7.0
