game,algorithm,first_mover,matchup,num_games,algo_wins,algo_draws,algo_losses,algo_win_rate,algo_draw_rate,algo_loss_rate,avg_game_length
C4,MiniMax,MiniMax,MiniMax vs Default,100,100,0,0,1.0,0.0,0.0,9.0
C4,MiniMax,Default,Default vs MiniMax,100,100,0,0,1.0,0.0,0.0,20.0
C4,AlphaBeta,AlphaBeta,AlphaBeta vs Default,100,100,0,0,1.0,0.0,0.0,9.0
C4,AlphaBeta,Default,Default vs AlphaBeta,100,100,0,0,1.0,0.0,0.0,20.0
C4,QLearning,QLearning,QLearning vs Default,100,0,0,100,0.0,0.0,1.0,10.0
C4,QLearning,Default,Default vs QLearning,100,0,0,100,0.0,0.0,1.0,17.0
C4,DQN,DQN,DQN vs Default,100,0,0,100,0.0,0.0,1.0,8.0
C4,DQN,Default,Default vs DQN,100,0,0,100,0.0,0.0,1.0,7.0
